id_groupe_terroriste;libellé_groupe_terroriste
148;Al-Fatah
149;Al-Fateh Al-Jadid
150;Al-Fatihin Army (AFA)
151;Al-Furqan Brigades
152;Al-Gama'at al-Islamiyya (IG)
153;Algeisk Wolves
154;Algeria Province of the Islamic State
155;Algerian Islamic Extremists
156;Algerian Moslem Fundamentalists
157;Algerian Mujahideen for Muslims
158;Al-Hadid
159;Al-Hamas Mujahideen
160;Al-Haramayn Brigades
161;Al-Haydariyah Battalion
162;Al-Herak Al-Tihami Movement
163;Al-Intiqami al-Pakistani
164;Al-Islah Party
165;Al-Ittihaad al-Islami (AIAI)
166;Al-Jehad
167;Al-Jihad
168;Al-Jihad (Pakistan)
169;Al-Jub Tribe
170;Al-Khobar
171;All Assam Revolutionary Army (AARA)
172;All Burma Students' Democratic Front (ABSDF)
173;All Coppers Are Bastards (ACAB)
174;All Ethiopian Unity Party (AEUP)
175;All for the Fatherland Movement
176;All India Anna Dravida Munetra Kazgan Party
177;All India Sikh Students Federation (AISSF)
178;All Kamatapur Liberation Force
179;All Karanataka Youth Council
180;All Nepal Free Nationalist Students Union
181;All Nepal National Free Student Union-Revolutionary
182;All Tripura Tiger Force (ATTF)
183;Allah's Tigers
184;Allende Lives Commando
185;Alliance of Patriots for a Free and Sovereign Congo (APCLS)
186;Alliance of Revolutionary Cuban Organizations
187;Allied Democratic Forces (ADF)
188;Allied Democratic Forces of Guinea (RDFG)
189;All-Party Students Union
190;Al-Madani Brigade
191;Al-Madina
192;Al-Mansoorian
193;Al-Marabitun Revolutionary Committee
194;Al-Masni Tribe
195;Al-Ma'unah
196;Al-Mua'qi'oon Biddam Brigade (Those who Sign with Blood)
197;Al-Mujahedin Brigades (Palestine)
198;Al-Mus'abi Tribe
199;Al-Muthana Islamic Movement
200;Al-Naqshabandiya Army
201;Al-Nasir Army (Syria)
202;Al-Nasireen Group
203;Al-Nasirin (India)
204;Al-Nawaz
205;Al-Nusrah Front
206;Alpha-66 (Cuban counterrevolutionary)
207;Al-Qaida
208;Al-Qaida in Iraq
209;Al-Qaida in Lebanon
210;Al-Qaida in Saudi Arabia
211;Al-Qaida in the Arabian Peninsula (AQAP)
212;Al-Qaida in the Indian Subcontinent
213;Al-Qaida in the Islamic Maghreb (AQIM)
214;Al-Qaida in Yemen
215;Al-Qaida Kurdish Battalions (AQKB)
216;Al-Qaida Network for Southwestern Khulna Division
217;Al-Qaida Organization for Jihad in Sweden
218;Al-Qaqa Brigade
219;Al-Qassam Brigades
220;Al-Saadawi Militia
221;Al-Sadr Brigades
222;Al-Sa'iqa
223;Al-Sawaiq Brigade
224;Al-Shabaab
225;Al-Shabaab al-Mu'minin
226;Al-Sham Legion
227;Al-Shuda Brigade
228;Al-Sunna wal Jamma
229;Al-Sunni muslim sect
230;Al-Toaiman Tribesmen
231;Al-Umar Mujahideen
232;Al-Ummah
233;Al-Yakin Mujahidin
234;Al-Yemenia al-Ulia Tribesmen
235;Al-Zaidi Tribe - Mareb
236;Al-Zintan Revolutionaries' Military Council
237;Al-Zulfikar
238;Amal
239;Amazigh Islamic Front
240;Amazonas Liberation Front
241;America Battalion
242;American Anticommunist Association (AAA)
243;American Indian Movement
244;American Servicemen's Union (ASU)
245;Americans for a Competent Federal Judicial System
246;Americans for Justice
247;Amhara tribal group
248;Amr Bil Maroof Wa Nahi Anil Munkir
249;Ana Maria Martinly August 22 Brigade
250;Ananda Marga
251;Anarchio Scene
252;Anarchist Action (CA / United States)
253;Anarchist Anti-Capitalist Action Group
254;Anarchist Attack Consortium
255;Anarchist Cell Acca (C.A.A.)
256;Anarchist Commando Nestor Makhno Group
257;Anarchist Faction
258;Anarchist Liberation Brigade
259;Anarchist Solidarity
260;Anarchist Squad
261;Anarchist Struggle
262;Anarchists
263;Anarchists Attack Team
264;Anarkista Jorge Banos Front of the Everyone For The Homeland Movement (MTP)
265;Anbar Salvation Council
266;Andres Castro United Front
267;Angels
268;Angola Rebels
269;Angolan Defense Force
270;Angry Brigade
271;Angry Brigade (Italy)
272;Angry Foxes Cell
273;Aniban ng Ayaw sa Komunista (ANAK) 
274;Animal Defense League
275;Animal Liberation Front (ALF)
276;Animal Rights extremists
277;Animal Rights Militia
278;Anonima Sequestri
279;Anonymous Underground Movement (MCA)
280;Ansar Al Sunnah (Palestine)
281;Ansar al-Din
282;Ansar al-Din Front
283;Ansar al-Dine (Mali)
284;Ansar al-Furqan
285;Ansar al-Imam Musa al-Sadr
286;Ansar al-Islam
287;Ansar al-Islam (Burkina Faso)
288;Ansar al-Jihad
289;Ansar Al-Khilafa (Philippines)
290;Ansar Allah
291;Ansar Al-Mujahideen (Pakistan)
292;Ansar al-Sharia (Libya)
293;Ansar al-Sharia (Tunisia)
294;Ansar al-Sharia Operations Room (Syria)
295;Ansar al-Sunna
296;Ansar al-Tahwid wal Sunna
297;Ansar Bayt al-Maqdis (Ansar Jerusalem)
298;Ansar Sarallah
299;Ansar Wa Mohajir (Pakistan)
300;Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan)
301;Ansaru ash-Sharia (Russia)
302;Ansarul Islam (Pakistan)
303;Ansarullah Bangla Team
304;Antagonistic Nuclei of the New Urban Guerrilla
305;Anti - Election Demonstrators
306;Anti Kurdish Workers Party Iraq nationals
307;Anti Shah of Iran
308;Anti Somoza Gp, name unk
309;Anti-Abortion extremists
310;Anti-AF
311;Anti-American Arab Liberation Front
312;antiapartheid guerrillas
313;Anti-Apostate Movement Alliance (AGAP)
314;Anti-Armenian Organization
315;Anti-Authority Group (Greece)
316;Anti-Balaka Militia
317;Anti-Bhutto demonstrators
318;Anti-Capitalist Action
319;Anti-Capitalist Brigades
320;Anti-Capitalist Commando
321;Anti-Castro Command
322;Anti-Castro Group
323;Anti-Chon radical elements
324;Anti-Christian extremists
325;Anti-Clerical Pro-Sex Toys Group
326;Anti-Communist Action Alliance
327;Anti-Communist Command (KAK)
328;Anti-Communist Commando of the South
329;Anti-Communist Patriotic Front
330;Anti-Communist rebels
331;Anti-Communist Viets Organization
332;Anti-Communist Vigilante Group
333;Anti-Communist Vigilante Patrol
334;Anti-Democratic Struggle
335;Anti-Environmentalists
336;Anti-Establishment Nucleus
337;Anti-Fascist Action
338;Anti-Fascist Territorial Group
339;Anti-feminist extremists
340;Anti-Gentrification Front
341;Anti-Government Demonstrators
342;Anti-Government extremists
343;Anti-Government Group
344;Anti-Government Guerrillas
345;Anti-government rioters
346;Anti-govt student groups
347;Anti-Gun Control extremists
348;anti-hunting protestors
349;Anti-Immigrant extremists
350;Anti-Imperialist Cell (AIZ)
351;Anti-Imperialist Commando
352;Anti-Imperialist Fighters for a Free Palestine
353;Anti-Imperialist International Brigades
354;Anti-Imperialist Patriotic Union
355;Anti-Imperialist Students Council
356;Anti-Imperialist Territorial Nuclei (NTA)
357;Anti-Imperialistic Communist Revolutionaries
358;Anti-Independence extremists
359;Anti-Iran Government Exiles
360;Anti-Israeli extremists
361;Anti-Kim Jong-il extremists
362;Anti-Kurdish Turks
363;Anti-Liberal extremists
364;Anti-Marxist Commando
365;Anti-Monarchists
366;Anti-Muslim extremists
367;Anti-Narita Extremists
368;Anti-Nuclear extremists
369;Anti-Nuclear Society for a Silent Counter-Offensive (ANGST)
370;Anti-Park extremists
371;Anti-Police extremists
372;Anti-Racist Guerrilla Nuclei
373;Anti-Revolutionary Agents
374;Anti-Semitic extremists
375;Anti-Sikh extremists
376;Anti-Socials
377;Anti-Soviet protest group
378;Anti-State Action
379;Anti-State Justice
380;Anti-State Proletarian Nuclei
381;Anti-Technology extremists
382;Anti-Terrorism ETA (ATE)
383;Anti-Terrorist Liberation Group (GAL)
384;Anti-Trump extremists
385;Anti-United States extremists
386;Anti-White extremists
387;Anti-Yanukovych extremists
388;Anti-Zionist Commandos
389;Anti-Zionist Movement
390;Antonia Martinez Student Commandos (AMSC)
391;Antonio
392;Anya-Nya II Militia
393;April 6th Liberation Movement
394;Aqmur
395;Arab Commando Cells
396;Arab Communist Organization
397;Arab Democratic Party
398;Arab Liberation Army
399;Arab Liberation Front (ALF)
400;Arab Movement of Azawad (MAA)
401;Arab People's Group
402;Arab Revenge Organization
403;Arab Revolution/Liberation Vanguard Organization
404;Arab Revolutionary Army
405;Arab Revolutionary Cells
406;Arab Revolutionary Front
407;Arab Separatists
408;Arab Socialist Baath Party
409;Arab Socialist Baath Party of Iraq
410;Arab Socialist Union Members
411;Arab Steadfastness Front
412;Arab Struggle
413;Arab Unionist Nationalist Organization
414;Arab Youth Group (Militant)
415;Arabian Peninsula Freemen
416;Arabs
417;Arakan Army (AA)
418;Arakan Liberation Party (ALP)
419;Arakan Rohingy Islamic Front
420;Arauco Malleco Coordinating Group (CAM) - Chile
421;Arbav Martyrs of Khuzestan
422;Argentina Libre (Free Argentina)
423;Argentine Anticommunist Alliance (AAA)
424;Argentine Liberation Front (FAL)
425;Argentine National Organization Movement (MANO)
426;Argentine Youths for Sovereignty
427;Ariska Brodraskapet (Aryan Brotherhood)
428;Aristide supporters
429;Armata Corsa
430;Armata di Liberazione Naziunale (ALN)
431;Armed Action Force (FADA)
432;Armed Anti-Imperialist Movement
433;Armed Brigades
434;Armed Commandos for Liberation
435;Armed Commandos in the Fighting Army of Mario Zichieri
436;Armed Commandos of Liberation
437;Armed Commandos of Student Self Defense
438;Armed Communist Commando
439;Armed Communist Formations
440;Armed Communist Front
441;Armed Communist Nucleus
442;Armed Communist Struggle
443;Armed Falange
444;Armed Fight for Communism
445;Armed Fight for Workers Power
446;Armed Fighting Nucleus For Communism
447;Armed Forces for a Federal Republic (FARF)
448;Armed Forces for Liberation of East Timor (FALINTIL)
449;Armed Forces for National Salvation - Army of the People (FASN-EP)
450;Armed Forces of National Liberation- Venezuela (FALN)
451;Armed Forces of National Resistance (FARN)
452;Armed Forces of Popular Resistance (FARP)
453;Armed Forces of the Chechen Republic of Ichkeria
454;Armed Forces Revolutionary Council (AFRC)
455;Armed Gold Miners
456;Armed Group for the Defence of the People
457;Armed Group for the Liberation of Guadeloupe (GLAG)
458;Armed Groups for Communism
459;Armed Groups of Organised Proletariat
460;armed guerrillas
461;Armed Islamic Group (GIA)
462;Armed Islamic Movement
463;Armed Nuclei for Communism
464;Armed Nuclei for Territorial Counterpower
465;Armed Nucleus for Popular Autonomy
466;Armed Nucleus of Communist Workers
467;Armed People
468;Armed People's Units
469;Armed Proletarian Formations
470;Armed Proletarian Group
471;Armed Proletarian Groups for Communism
472;Armed Proletarian Nuclei (NAP)
473;Armed Proletarian Patrols
474;Armed Proletarian Power
475;Armed Proletarian Squads
476;Armed Proletariat Fighting Squad
477;Armed Radical Groups for Communism
478;Armed Renaissance Group of Ahvaz
479;Armed Revolutionary Action (ENEDRA)
480;Armed Revolutionary Groups
481;Armed Revolutionary Independence Movement (MIRA)
482;Armed Revolutionary Left (IRA)
483;Armed Revolutionary Nuclei (NAR)
484;Armed Squads for Communism
485;Armed Struggle Cells
486;Armed Struggle for Communism
487;Armed Struggle for Proletarian Power
488;Armed Struggle Organization
489;Armed Subversives
490;Armed Vanguards of a Second Mohammed Army
491;Armed Womens Nuclei
492;Armed Workers Nuclei
493;Armed Workers Squads
494;Armenian extremists
495;Armenian Group
496;Armenian Guerrillas
497;Armenian militants
498;Armenian nationalists
499;Armenian Organization for Armed Struggle
500;Armenian paramilitary group
501;Armenian Red Army
502;Armenian Revolutionary Army
503;Armenian Secret Army for the Liberation of Armenia
504;Armenians
505;Army for Freeing Scotland
506;Army of God
507;Army of Islam
508;Army of State Liberators
509;Army of the Republic of Ilirida
510;Army of the Tribes
511;Arnoldo Camu Command
512;Arsonists
513;Arsonists for Social Cohesion
514;Artigas Guard Commando
515;Artigas-Giachino Command
516;Arya
517;Aryan Brotherhood
518;Aryan Nation
519;Aryan Republican Army
520;Asa'ib Ahl al-Haqq
521;Asbat al-Ansar
522;Ashuar Tribe
523;Asif Raza Commandos
524;Association for the Enhancement of the Justice of the Great Japan
525;Association of Demobilized Armed Forces
526;Association of Mobil Spill Affected Communities (AMSAC)
527;Association of Students and Pupils in Mali (AEEM)
528;Association Totalement Anti-Guerre (ATAG)
529;Asylum Seekers
530;ATALA
531;Athens and Thessaloniki Arsonist Nuclei
532;Attaches
533;Attack Teams for the Dissolution of the Nation (Greece)
534;Aum Shinri Kyo
535;Authenticity and Development Front
536;Autonomen
537;Autonomous Anarchist Groups
538;Autonomous Anti-Capitalist Commandos (CAA)
539;Autonomous Decorators
540;Autonomous Group for Armed Action
541;Autonomous Groups
542;Autonomous Intervention Collective Against the Zionist Presence in France
543;Autonomous Manuel Rodriguez Patriotic Front
544;Autonomous Resistance
545;Autonomous Revolutionary Brigade
546;Autonomous Students
547;Autonomy (Greece)
548;Autonomy (Italy)
549;Autonomy Front
550;Autonomy-Seeking Arabs
551;Avenge the Arab Nation
552;Avengers of Peiper Group
553;Avengers of the Infants
554;Awami League
555;Awdal Regional Administration Army (ARAA)
556;Ayesha bint al-Sadiq Brigade
557;Azadejan (Liberation)
558;Azania People's Organization (AZAPO)
559;Azawad National Liberation Movement (MNLA)
560;Azerbaijan Guerrillas
561;Azerbaijan Weapons Smugglers
562;Baader-Meinhof Group
563;Ba'adi (on my own behalf)
564;Baba Ladla Gang
565;Babbar Khalsa International (BKI)
566;Baby Liberation Army
567;Badr Brigades
568;Bahir Eldeen Brigade
569;Bahoz
570;Bahrain Province of the Islamic State
571;Bahujan Samaj Party
572;Baloch Liberation Army (BLA)
573;Baloch Liberation Front (BLF)
574;Baloch Liberation Tigers (BLT)
575;Baloch Militant Defense Army
576;Baloch Mussalah Diffah Tanzim (BMDT)
577;Baloch National Liberation Front
578;Baloch Nationalists
579;Baloch Republican Army (BRA)
580;Baloch Republican Guards (BRG)
581;Baloch Waja Liberation Army (BWLA)
582;Baloch Young Tigers (BYT)
583;Balochistan Liberation United Front (BLUF)
584;Balochistan National Army
585;Bande des Rats (the rat pack) Ukranian Group
586;Bandits
587;Bangalee Somo Odhikar Andolon
588;Bangladesh Communist Party
589;Bangladesh National Socialist Party
590;Bangladesh Nationalist Party (BNP)
591;Bangladesh Road Transport Workers Federation
592;Bangladesh Sarbahara Party
593;Bangladesh Tiger Force
594;Bangsamoro Islamic Freedom Movement (BIFM)
595;Bangsamoro National Liberation Army
596;Bani Hilal Tribe
597;Bani Jaber tribe
598;Bani Nawaf tribe
599;Banner of Islam
600;Banya Tribe
601;Banyamulenge rebels
602;Barak Valley Tiger Force (BVTF)
603;Barisan Revolusi Nasional (BRN)
604;Barq al-Nasser Brigade
605;Barqa Province of the Islamic State
606;Barzani Guerrillas
607;Base Movement
608;Basic People's Congresses
609;Basque Country Autonomous Self-Defense Group
610;Basque extremists
611;Basque Fatherland and Freedom (ETA)
612;Basque guerrillas
613;Basque Justice
614;Basque Rectitudes
615;Basque Refugee Support Group
616;Basque Separatists
617;Basque terrorists
618;Bavarian Liberation Army
619;BAY Bombers
620;Baya Tribe
621;Bedouin Movement (Sudan)
622;Bedouin tribesmen
623;Begumcans Cell
624;Beirut Martyrs Battalion
625;Beirut Martyrs Forces Organization
626;Beja Congress
627;Belarusian Liberation Army
628;Beli Orlovi (White Eagles)
629;Bengali Sangram Mukti Bahini
630;Bengali Tiger Force (BTF)
631;Benghazi Defense Brigades (BDB)
632;Berom Militants
633;Bersatu
634;Besi Merah Putih Militia
635;Bharat Zinc Workers
636;Bharatiya Janata Party
637;Bhinderanwale Tiger Force of Khalistan (BTHK)
638;Bhisan Himali Bag
639;Bhittani tribe
640;Bhumi Uchched Pratirodh Committee (BUPC)
641;Biafra Zionist Movement (BZM)
642;Bihar People's  Party (Hindu militants)
643;Bin Zabyan Tribesmen
644;Bini-Oru
645;Biswabhumi Sena Bishal Nepal
646;Black African Vigilantes
647;Black Afro Militant Movement
648;Black American Moslems
649;Black and Red Anarchist and Anti-Authoritarians Initiative (Greece)
650;Black Banner Brigade
651;Black Berets
652;Black Bloc
653;Black Brigade
654;Black Brigade (United States)
655;Black Cells
656;Black December
657;Black Eagles
658;Black Flag (Bandera Negra)
659;Black Forest Command
660;Black Friday
661;Black Hand
662;Black Hand (Colombia)
663;Black Hawks (Anti-Wahhabists)
664;Black Hebrew Israelites
665;Black Lebanon
666;Black Liberation Army
667;Black Liberation Force
668;Black Liberation Front
669;Black Malian Group
670;Black Mambas
671;Black March
672;Black Muslims
673;Black Nationalists
674;Black Order
675;Black Panther Group (Palestinian)
676;Black Panthers
677;Black Revolutionary Assault Team
678;Black September
679;Black September II
680;Black Star
681;Black Tigers
682;Black War
683;Black Wednesday
684;Black Widows
685;Blacks
686;Bloque Anti-Guerrillero de Oriente (BAGO)
687;Blue Archer Group
688;Bodo Liberation Tigers (BLT)
689;Bodo Militants
690;Bodo People's Front (BPF)
691;Bodu Bala Sena
692;Bodyguards of Muslim Warlord Governor Tupay Loong
693;Boer Republikeinse Leer
694;Boer Sentries
695;Boere Aanvals Troepe (BAT)
696;Boko Haram
697;Bolivarian Army of Liberation
698;Bolivian Luminous Path
699;Bolivian Socialist Falange
700;Borana bandits
701;Borderless Solidarity Cell (BSC)
702;Boricua Revolutionary Front
703;Boricuan Armed Anti-Imperialist Commandos
704;Bosnian Croats
705;Bosnian refugee
706;Bosnian Serbs
707;Bougainville Revolutionary Army (BRA)
708;Boz-Ok (Grey Arrow)
709;Brazilian Anti-Communist Alliance (AAB)
710;Brazilian Democratic Mobilization Party (PMBD)
711;Brelvi Muslims
712;Breton Liberation Front (FLB)
713;Breton Separatists
714;Breton Terrorist
715;Brigadas Rojas
716;Brigade of al-Mukhtar al-Thaqafi
717;Brigades of Iman Hassan-al-Basri
718;Brigades of Imprisoned Sheikh Omar Abdel-Rahman
719;Broad Commando of National Liberation
720;Broad Front
721;Brother Julian
722;Bru Democratic Front of Mizoram (BDFM)
723;Bru National Liberation Front (BNLF)
724;Brunswijk Jungle Commando
725;Buddhist Monks
726;Budget for the Popular Prep or Death
727;Bunda Dia Kongo (BDK)
728;Burma Communist Party
729;Burmese Minority Group Pirates
730;Burmese refugees
731;BZers
732;Cali Narcotics Cartel
733;Cambodian Freedom Fighters (CFF)
734;Cambodian guerrillas
735;Cambodian Gunmen
736;Cambodian National Front for National Salvation
737;Cambodian People's Party (CPP)
738;Canary Islands Independence Movement
739;Cannibal Army
740;Caribbean Revolutionary Alliance (ARC)
741;Carlos Echeverria commando group
742;Carlos the Jackal
743;Carribbean Revolutionary Independence Army
744;Casamance Separatists
745;Caspian Group
746;Catalan independence group
747;Catalan Liberation Front (FAC)
748;Catalan Militia
749;Catalonian Resistance
750;Catholic E. Timurese
751;Catholic Reaction Force
752;Caucasus Emirate
753;Caucasus Province of the Islamic State
754;CCCCC
755;Cell for Internationalism
756;Cells for Solidarity Against Authority
757;Census Opponents
758;Central African National Liberation Movement
759;Central American Movement of Solidarity (MOSCA)
760;Central American Revolutionary Workers Party (PRTC)
761;Central University students
762;Chakma tribal group
763;Chama Pueblo en Rebelion
764;Charles Martel Group
765;Charlot Jacquelin Militant Front
766;Che Guevara Brigade
767;Che Guevara Guerrillas
768;Chechen Lone Wolf Group
769;Chechen Rebels
770;Chicano Liberation Front
771;Chicano Radicals
772;Children of November
773;Chilean Anti-Communist Alliance (ACHA)
774;Chilean Committee of Support for the Peruvian Revolution
775;Chin National Army
776;Chinese Illegal Immigrant
777;Chinese Mafia
778;Chinese Pirates
779;Chondaehyop (Radical Student Coalition)
780;Chonson Univ. students
781;Christ Chaos
782;Christian extremists
783;Christian Group for the Respect for Life
784;Christian Liberation Army
785;Christian Palestinian group
786;Chukakuha (Middle Core Faction)
787;Chukakuha Revolutionary Army
788;Cinchoneros Popular Liberation Movement
789;Circle of Violators/Nucleus Lovers of Anomy
790;Citizens for Constitutional Freedom
791;Citizen's Rights Protection Volunteers
792;Citizens Volunteer Force
793;Civic Guard
794;Civic United Front (CUF)
795;Civil Association for Peace in Colombia, Asocipaz
796;Civil Cooperation Bureau
797;Civil Defense Force (CDF)
798;civil guards
799;Civil Protection Units (YPS)
800;Civil Servants and Unionists
801;Civil War Veterans
802;Civilian Defense
803;Civilian Joint Task Force (JTF)
804;Civilians Seeking Revenge
805;Clandestini Corsi
806;Cleansing Hand (La Mano Que Limpia)
807;Cleansing Squad
808;Coalition for Unity and Democracy (CUD)
809;Coalition of National Brigades
810;Coalition to Save the Preserves (CSP)
811;Coca Farmers
812;Colombia Without Guerrillas
813;Colombian Guerrillas
814;Colombian Patriotic Resistance
815;Colombian Revolution
816;Colombians
817;Colonel Albert Kahasha Militia
818;Colonel Karuna Faction
819;Columbia PM
820;Column 88
821;Comando Autónomo Voltaire Argandoña
822;Comando Bautista B
823;Comando Independiente Revolucionario
824;Comando Malvinas Argentinas
825;Comando Vermelho (Red Command)
826;Combat 18
827;Combat Brigades
828;Combat Nucleus of Communist Unity
829;combat territory groups
830;Combatant Communist Front
831;Combatant Nucleus for Communism
832;Combatent Communists
833;Comite Argentino de Lucha Anti-Imperialisto
834;Comite d'Action Viticole
835;Comite de Liberation et de Detournements d'Ordinateurs (Committee for the liberation and hijacking of computers)
836;Command for National Sovereignty
837;Commander Gonzalo Southern Group
838;Commander Luciano Varela Antiguerrilla Group
839;Commando 15th October
840;Commando 27 September
841;Commando Adolph Hitler
842;Commando Delta
843;Commando Heinz Neumann
844;Commando Internacionalista Simon Bolivar
845;Commandos
846;Commandos Against Self Destruction of the Universe
847;Commandos for A Popular alternative
848;Commandos for the Defense of Western Civilization
849;Commandos of France
850;Committee for a National Drive for Peace and Democracy
851;Committee for Direct Action Against War
852;Committee for the Defense of Italian Workers in France
853;Committee for the Elimination of Killer Collaborators
854;Committee for the Safeguard of the Islamic Revolution
855;Committee of action against bull fights
856;Committee of Coordination
857;Committee of Solidarity with Arab and Middle East Political Prisoners (CSPPA)
858;Commune 1
859;Communist Anti-Imperialistic Revolutionaries
860;Communist Anti-Nuclear Front
861;Communist Armed Nucleus
862;Communist Attack Brigades
863;Communist Attack Units
864;Communist Brigade Dante Dimani
865;Communist Brigades
866;Communist Combat Unit
867;Communist Combattant Cells (CCC) (Belgium)
868;Communist Fighters Association
869;Communist Fighters Group
870;Communist Fighting Corunim- Maria Anna Maria
871;Communist Fighting Detachments
872;Communist Fighting Front
873;Communist Fighting Nuclei
874;Communist Fighting Unit
875;Communist Front for Counterpower
876;Communist Group of Proletarian Internationalism
877;Communist Guerilla Nuclei
878;Communist Hunters Command (CCC)
879;Communist Nuclear
880;Communist Nuclei of Counter Power
881;Communist Party of India
882;Communist Party of India - Maoist (CPI-Maoist)
883;Communist Party of India- Marxist
884;Communist Party of India- Marxist-Leninist
885;Communist Party of Malaysia- Marxist-Leninist
886;Communist Party of Nepal - Maoist (CPN-Maoist-Chand)
887;Communist Party of Nepal (People's War Group)
888;Communist Party of Nepal- Maoist (CPN-M)
889;Communist Party of Nepal- Unified Marxist-Leninist (CPN-UML)
890;Communist Party of Nepal-Maoist (Baidya)
891;Communist Party of Thailand
892;Communist Patrols for Counter Power
893;Communist Progress
894;Communist Territorial Nuclei
895;Communist Territorial Unit
896;Communist Trade Union Workers
897;Communist Warrior's Union
898;Communists
899;Communists Fighting Imperialism and Armaments
900;Comrades in Arms
901;Comrades Organized in Partisan Nuclei
902;Comuneros
903;Concerned citizens
904;Concerned Militant Leaders (CML)
905;Condor
906;Condor Plan Criminals
